hjd,camera,mag,mag_err,flux,flux_err
2456914.9495,bb,11.133,0.02,135.081,2.485
2456491.03245,bb,11.133,0.02,135.068,2.485
2456573.82502,ba,11.115,0.02,146.707,2.699
2458348.98509,bb,11.355,0.02,110.099,2.026
2456969.91274,ba,11.088,0.02,150.331,2.766
2457639.04697,bb,11.125,0.02,136.129,2.505
2457989.07267,bb,11.098,0.02,139.577,2.568
2457391.74846,ba,11.163,0.02,140.329,2.582
2457613.9209,ba,11.203,0.02,135.235,2.488
2456538.95027,bb,11.12,0.02,136.742,2.516
2457227.06649,bb,11.09,0.02,140.513,2.585
2457304.96356,ba,11.132,0.02,144.435,2.658
2456476.053,bb,11.127,0.02,135.817,2.499
2456811.10125,ba,11.128,0.02,144.862,2.665
2456937.7703,bb,11.094,0.02,140.099,2.578
2458309.06899,bb,11.122,0.02,136.55,2.513
2458423.96065,bb,11.13,0.02,135.534,2.494
2458121.75634,ba,11.124,0.02,145.39,2.675
2456527.98052,bb,11.109,0.02,138.1,2.541
2458413.86527,ba,11.121,0.02,145.889,2.684
2457231.09165,bb,11.276,0.02,118.447,2.179
2456855.03151,ba,11.117,0.02,146.449,2.695
2458131.7526,bb,11.119,0.02,136.851,2.518
2456876.00869,ba,11.108,0.02,147.598,2.716
2458348.88021,ba,11.119,0.02,146.083,2.688
2457327.93357,ba,11.114,0.02,146.749,2.7
2458034.01344,bb,11.113,0.02,137.608,2.532
2457227.04677,ba,11.095,0.02,149.371,2.748
